League,Degree,whyplay,Age,GAD_T
Diamond,Bachelor,improving,20,13
Diamond,Master,having fun,26,9
Diamond,High School,improving,20,6
Silver,High School,relaxing,19,13
Silver,High School,relaxing,23,6
Platinum,High School,having fun,24,2
Diamond,High School,improving,22,8
Diamond,High School,having fun,20,0
Silver,Master,having fun,27,1
Diamond,High School,improving,22,16
Gold,Master,having fun,28,6
Silver,None,relaxing,18,6
Diamond,High School,having fun,20,2
Silver,High School,having fun,24,6
Unranked,High School,having fun,20,2
Platinum,High School,winning,19,4
Silver,High School,winning,26,10
Platinum,High School,improving,24,1
Gold,High School,improving,19,3
Platinum,Bachelor,winning,20,9
Gold,Bachelor,improving,29,1
Diamond,High School,improving,18,6
Silver,High School,winning,19,3
Diamond,Bachelor,having fun,21,2
Platinum,High School,improving,18,5
Platinum,High School,having fun,23,3
Gold,High School,improving,20,0
Diamond,None,having fun,20,11
Gold,Bachelor,improving,19,5
Gold,Bachelor,winning,25,1
Diamond,High School,having fun,21,3
Diamond,Bachelor,winning,21,13
Platinum,Bachelor,relaxing,26,3
Diamond,High School,improving,20,8
Diamond,Bachelor,winning,20,1
Gold,High School,having fun,29,3
Silver,Bachelor,improving,21,4
Platinum,High School,having fun,18,7
Gold,High School,improving,25,8
Platinum,High School,improving,19,1
Gold,High School,improving,18,2
Silver,High School,having fun,18,3
Platinum,High School,having fun,18,8
Gold,High School,relaxing,19,9
Platinum,High School,winning,21,1
Gold,Bachelor,relaxing,24,9
Bronze,Bachelor,having fun,25,1
Gold,High School,winning,19,7
Diamond,High School,improving,18,5
Gold,High School,having fun,19,3
Bronze,High School,improving,21,1
Platinum,Bachelor,having fun,22,0
Gold,High School,winning,23,9
Gold,Bachelor,having fun,27,2
Silver,Bachelor,having fun,27,6
Silver,Bachelor,having fun,22,16
Platinum,High School,improving,18,2
Diamond,High School,improving,20,3
Platinum,High School,having fun,21,0
Gold,Bachelor,having fun,21,0
Gold,High School,improving,20,4
Platinum,Master,improving,24,14
Silver,None,improving,18,2
Silver,None,having fun,20,1
Platinum,High School,improving,18,3
Silver,High School,improving,21,13
Platinum,High School,improving,21,11
Silver,High School,improving,18,7
Unranked,High School,winning,19,9
Platinum,High School,improving,20,10
Gold,High School,having fun,18,9
Gold,Master,winning,27,2
Silver,High School,improving,18,5
Silver,Bachelor,having fun,27,12
Platinum,Bachelor,having fun,26,0
Diamond,Bachelor,winning,18,8
Silver,Bachelor,improving,22,0
Unranked,High School,having fun,21,3
Platinum,High School,having fun,18,0
Gold,High School,winning,19,3
Gold,None,improving,18,1
Silver,None,winning,18,8
Diamond,High School,improving,19,5
Silver,High School,relaxing,19,2
Silver,High School,having fun,20,3
Unranked,High School,having fun,18,1
Gold,High School,having fun,19,0
Diamond,Bachelor,improving,26,5
Bronze,High School,improving,29,6
Platinum,High School,having fun,18,4
Silver,Master,improving,23,3
Platinum,High School,having fun,24,14
Gold,None,having fun,20,12
Bronze,Bachelor,having fun,22,6
Platinum,High School,relaxing,29,0
Diamond,High School,winning,19,7
Silver,Bachelor,having fun,24,5
Platinum,None,improving,18,7
Gold,High School,having fun,19,4
Platinum,High School,having fun,18,3
Gold,High School,having fun,18,1
Gold,Bachelor,winning,26,2
Gold,High School,improving,26,7
Silver,Bachelor,improving,22,14
Diamond,High School,improving,18,7
Silver,Bachelor,improving,21,11
Gold,High School,having fun,39,1
Gold,High School,improving,24,7
Unranked,High School,having fun,20,9
Platinum,High School,improving,20,5
Diamond,High School,improving,20,2
Gold,High School,having fun,18,2
Unranked,Master,improving,27,3
Gold,High School,improving,20,5
Platinum,Master,winning,22,0
Gold,None,improving,18,1
Diamond,None,winning,19,2
Gold,High School,improving,21,4
Gold,Bachelor,having fun,23,0
Bronze,Bachelor,improving,22,6
Diamond,None,having fun,19,0
Silver,Bachelor,having fun,20,13
Silver,High School,having fun,21,3
Platinum,High School,improving,21,0
Diamond,High School,having fun,22,0
Platinum,None,having fun,19,1
Platinum,High School,having fun,19,3
Gold,Master,winning,21,21
Silver,Bachelor,having fun,32,4
Gold,High School,having fun,23,6
Diamond,High School,having fun,24,8
Diamond,High School,winning,18,7
Platinum,High School,improving,22,9
Gold,None,improving,22,2
Gold,None,winning,18,0
Gold,High School,improving,19,2
Diamond,High School,improving,19,2
Bronze,None,winning,18,21
Gold,High School,improving,22,4
Gold,High School,having fun,23,0
Platinum,High School,winning,21,16
Gold,High School,improving,20,10
Bronze,Master,improving,25,2
Platinum,High School,having fun,18,10
Unranked,Bachelor,having fun,32,1
Silver,High School,improving,20,0
Platinum,High School,having fun,19,6
Silver,None,improving,18,2
Platinum,High School,having fun,22,3
Platinum,High School,having fun,18,2
Platinum,High School,winning,18,7
Bronze,None,having fun,18,2
Platinum,Bachelor,having fun,21,8
Diamond,Master,improving,25,2
Platinum,High School,improving,18,4
Diamond,High School,improving,19,5
Gold,None,having fun,18,7
Diamond,High School,improving,18,3
Gold,High School,improving,19,6
Gold,High School,improving,18,1
Unranked,Master,having fun,26,9
Silver,High School,having fun,18,0
Platinum,High School,having fun,19,1
Gold,High School,having fun,20,2
Diamond,None,having fun,18,1
Bronze,High School,improving,18,5
Platinum,High School,improving,18,9
Gold,High School,having fun,19,3
Gold,High School,having fun,19,3
Platinum,High School,winning,22,0
Silver,High School,having fun,18,18
Platinum,High School,having fun,18,8
Platinum,High School,winning,22,13
Gold,None,winning,18,5
Platinum,High School,winning,20,3
Gold,None,improving,20,3
Diamond,High School,improving,21,16
Silver,High School,having fun,19,2
Gold,High School,having fun,22,4
Gold,High School,having fun,19,2
Diamond,None,having fun,19,4
Gold,Bachelor,improving,21,7
Silver,High School,improving,19,3
Unranked,High School,improving,19,1
Silver,Master,improving,28,2
Bronze,High School,having fun,21,7
Diamond,High School,improving,20,10
Silver,Bachelor,having fun,23,2
Platinum,High School,improving,21,9
Gold,High School,having fun,18,0
Gold,None,having fun,18,2
Silver,Master,improving,23,7
Platinum,High School,having fun,20,0
Diamond,High School,improving,23,0
Platinum,High School,improving,19,0
Silver,Master,having fun,26,0
Silver,Bachelor,having fun,25,12
Silver,Master,having fun,27,5
Gold,Bachelor,improving,22,5
Gold,High School,having fun,18,2
Unranked,Bachelor,having fun,23,10
Platinum,High School,relaxing,19,10
Unranked,High School,having fun,19,2
Gold,High School,having fun,19,11
Bronze,Bachelor,improving,24,0
Silver,High School,having fun,18,1
Silver,High School,improving,18,8
Gold,High School,having fun,21,5
Platinum,High School,having fun,19,12
Gold,High School,having fun,21,3
Diamond,High School,having fun,19,4
Gold,High School,improving,18,1
Platinum,High School,winning,18,4
Silver,Bachelor,having fun,22,5
Platinum,Bachelor,improving,19,3
Platinum,High School,having fun,18,3
Silver,Bachelor,having fun,25,5
Silver,High School,having fun,19,6
Diamond,High School,having fun,24,5
Diamond,High School,winning,20,12
Silver,High School,improving,20,4
Gold,High School,having fun,19,2
Silver,High School,having fun,21,7
Unranked,High School,having fun,24,2
Bronze,High School,having fun,19,1
Diamond,High School,improving,21,1
Silver,Bachelor,having fun,22,4
Silver,Master,having fun,21,5
Gold,High School,having fun,21,2
Gold,High School,having fun,18,2
Platinum,High School,relaxing,19,2
Platinum,High School,improving,18,0
Platinum,High School,improving,20,11
Diamond,None,relaxing,21,1
Gold,High School,improving,23,13
Platinum,Bachelor,relaxing,26,7
Platinum,Master,improving,32,9
Silver,High School,winning,18,3
Gold,High School,having fun,18,1
Bronze,High School,having fun,25,4
Silver,Bachelor,improving,27,2
Gold,None,having fun,18,7
Diamond,High School,having fun,20,17
Diamond,High School,having fun,19,9
Diamond,High School,having fun,21,3
Unranked,Bachelor,winning,23,6
Diamond,High School,improving,20,4
Diamond,High School,improving,18,11
Gold,High School,having fun,20,7
Diamond,High School,improving,18,17
Gold,High School,having fun,25,2
Gold,High School,improving,20,14
Gold,None,having fun,18,9
Gold,High School,having fun,18,6
Silver,Bachelor,having fun,23,18
Gold,High School,improving,19,2
Silver,High School,relaxing,20,2
Platinum,High School,improving,18,5
Gold,High School,improving,26,1
Platinum,High School,having fun,21,3
Silver,Bachelor,having fun,18,2
Diamond,None,winning,18,7
Platinum,High School,improving,18,7
Silver,Bachelor,improving,21,1
Platinum,Bachelor,improving,23,2
Silver,Bachelor,having fun,23,6
Gold,High School,winning,20,1
Silver,High School,improving,21,4
Platinum,Master,relaxing,22,4
Platinum,High School,having fun,22,4
Silver,High School,improving,22,0
Gold,High School,having fun,22,2
Gold,High School,winning,18,7
Diamond,High School,improving,19,8
Platinum,High School,having fun,20,1
Platinum,High School,improving,19,6
Bronze,High School,having fun,22,0
Diamond,High School,improving,21,2
Gold,High School,having fun,19,14
Gold,High School,having fun,20,13
Silver,High School,improving,19,3
Gold,High School,having fun,18,2
Platinum,High School,improving,19,12
Unranked,Bachelor,winning,21,11
Diamond,Bachelor,winning,19,4
Unranked,High School,relaxing,21,6
Platinum,High School,improving,19,4
Diamond,High School,relaxing,21,2
Silver,High School,having fun,24,13
Gold,High School,winning,20,4
Diamond,High School,relaxing,18,5
Gold,High School,having fun,18,2
Silver,Bachelor,improving,23,4
Gold,Bachelor,improving,23,5
Gold,None,having fun,20,4
Silver,Bachelor,having fun,20,0
Platinum,High School,winning,18,9
Gold,Master,improving,28,7
Gold,Bachelor,having fun,21,9
Unranked,High School,improving,19,4
Diamond,High School,winning,21,13
Platinum,Bachelor,improving,18,3
Platinum,Bachelor,winning,21,8
Diamond,High School,winning,18,1
Bronze,High School,improving,34,3
Gold,High School,improving,21,7
Gold,Master,having fun,28,1
Gold,High School,having fun,18,8
Gold,Bachelor,having fun,22,4
Gold,Master,having fun,25,0
Unranked,Bachelor,winning,23,21
Gold,Master,improving,22,2
Silver,Bachelor,improving,25,3
Platinum,High School,improving,19,1
Gold,High School,improving,18,2
Gold,Bachelor,improving,21,3
Diamond,Bachelor,having fun,21,1
Gold,High School,winning,19,11
Gold,None,having fun,20,5
Diamond,High School,winning,24,5
Gold,High School,winning,18,11
Platinum,Bachelor,having fun,25,2
Gold,High School,having fun,20,7
Bronze,High School,improving,20,6
Platinum,Bachelor,improving,24,3
Gold,High School,improving,23,5
Unranked,Bachelor,having fun,20,0
Platinum,High School,improving,19,5
Silver,High School,winning,25,6
Gold,High School,winning,23,4
Silver,High School,improving,23,7
Gold,High School,winning,23,7
Gold,Doctor,improving,28,1
Gold,High School,improving,21,10
Silver,Bachelor,having fun,23,1
Unranked,None,relaxing,18,9
Gold,Bachelor,having fun,22,2
Diamond,Bachelor,having fun,21,16
Gold,Master,winning,26,13
Gold,Master,improving,26,12
Silver,High School,having fun,20,4
Diamond,High School,improving,20,5
Platinum,None,improving,18,7
Platinum,High School,having fun,18,0
Diamond,High School,winning,25,21
Gold,High School,having fun,24,3
Unranked,High School,having fun,19,4
Gold,Doctor,having fun,25,3
Silver,High School,improving,18,3
Platinum,High School,having fun,19,7
Silver,High School,winning,19,2
Platinum,High School,having fun,22,9
Platinum,High School,improving,20,5
Silver,High School,winning,20,12
Diamond,Bachelor,winning,19,16
Diamond,High School,having fun,19,4
Gold,Master,having fun,33,4
Platinum,Bachelor,improving,23,4
Platinum,Bachelor,improving,20,2
Diamond,None,having fun,18,3
Gold,High School,improving,18,13
Silver,High School,winning,18,12
Platinum,High School,improving,20,5
Gold,None,having fun,21,3
Platinum,None,improving,18,2
Platinum,High School,improving,18,1
Silver,High School,having fun,20,7
Platinum,High School,improving,20,4
Gold,Bachelor,relaxing,24,7
Platinum,High School,having fun,19,5
Gold,None,having fun,18,6
Silver,High School,winning,18,3
Gold,High School,improving,26,5
Bronze,Bachelor,improving,36,4
Bronze,High School,winning,23,18
Platinum,Bachelor,improving,18,3
Platinum,High School,improving,18,10
Platinum,Master,having fun,23,2
Silver,High School,having fun,34,1
Gold,High School,improving,20,2
Gold,High School,improving,20,1
Gold,High School,winning,22,4
Gold,High School,having fun,19,10
Platinum,None,improving,18,7
Platinum,High School,having fun,20,4
Diamond,High School,improving,19,3
Silver,High School,improving,24,5
Gold,High School,improving,19,16
Unranked,Bachelor,having fun,24,10
Silver,None,having fun,18,4
Silver,None,having fun,18,3
Gold,High School,improving,22,12
Platinum,Bachelor,winning,22,12
Diamond,High School,improving,19,3
Platinum,Master,winning,22,5
Diamond,High School,improving,18,0
Gold,High School,having fun,19,3
Silver,High School,improving,19,4
Bronze,Master,winning,36,1
Diamond,High School,improving,22,5
Silver,High School,having fun,19,1
Gold,High School,having fun,22,1
Gold,Bachelor,having fun,23,6
Platinum,Bachelor,having fun,20,3
Platinum,High School,winning,21,12
Gold,Bachelor,winning,21,9
Platinum,High School,having fun,18,14
Silver,Bachelor,relaxing,38,2
Platinum,High School,improving,18,6
Silver,High School,having fun,18,2
Platinum,High School,improving,21,5
Platinum,High School,improving,19,12
Bronze,Bachelor,winning,33,4
Gold,None,having fun,18,4
Gold,High School,winning,18,3
Gold,High School,winning,19,6
Platinum,Bachelor,having fun,20,15
Gold,Master,improving,26,3
Platinum,High School,having fun,19,6
Gold,High School,having fun,18,4
Gold,High School,having fun,20,4
Silver,Bachelor,relaxing,23,6
Silver,High School,improving,20,8
Diamond,None,improving,18,1
Gold,High School,having fun,23,4
Gold,High School,improving,18,6
Silver,High School,improving,18,9
Silver,High School,improving,18,0
Diamond,High School,having fun,18,1
Platinum,High School,having fun,20,13
Platinum,Bachelor,improving,23,5
Platinum,High School,improving,20,0
Silver,High School,relaxing,20,6
Bronze,High School,having fun,21,21
Platinum,None,improving,20,4
Gold,Bachelor,improving,19,1
Silver,None,improving,18,0
Gold,High School,improving,21,14
Platinum,High School,improving,24,2
Platinum,High School,improving,19,1
Gold,High School,winning,19,6
Diamond,Bachelor,having fun,25,0
Platinum,High School,improving,20,16
Silver,High School,having fun,22,2
Gold,High School,having fun,19,5
Silver,High School,having fun,20,3
Silver,Bachelor,having fun,23,4
Platinum,High School,improving,20,6
Platinum,High School,winning,21,3
Gold,High School,improving,20,1
Platinum,Bachelor,relaxing,26,3
Platinum,High School,having fun,19,2
Silver,High School,having fun,19,21
Gold,High School,winning,20,17
Diamond,Bachelor,having fun,23,4
Gold,Master,having fun,20,2
Platinum,High School,improving,21,19
Silver,High School,relaxing,18,15
Platinum,High School,improving,18,7
Gold,High School,improving,18,7
Gold,Master,having fun,36,4
Diamond,High School,having fun,18,14
Platinum,Bachelor,improving,21,13
Silver,High School,winning,18,1
Silver,High School,having fun,18,1
Silver,High School,winning,18,7
Gold,Bachelor,having fun,20,20
Gold,High School,improving,18,6
Diamond,High School,winning,24,8
Gold,High School,having fun,18,10
Gold,None,winning,18,13
Gold,High School,improving,20,2
Unranked,High School,having fun,18,1
Diamond,Bachelor,having fun,25,0
Platinum,Bachelor,improving,19,2
Gold,High School,improving,20,1
Gold,Master,winning,22,19
Diamond,High School,improving,19,1
Gold,Bachelor,having fun,26,4
Diamond,High School,relaxing,18,5
Bronze,Bachelor,having fun,25,1
Bronze,High School,having fun,21,14
Diamond,High School,winning,22,6
Gold,Bachelor,having fun,23,13
Gold,Bachelor,having fun,19,5
